"Rank","AG","CC","EN","MI","MSE","Nabf","PSNR","Qabf","SCD","SD","SF","SSIM","VIF"
"25","6.436664225184883","0.5878870487213135","7.15877408939746","1.2598810139068861","0.14981480120230412","0.0554334481451005","57.413943339774285","0.5775094363036062","1.696329951286316","51.956840022841355","7.514647570730352","0.7337818786662113","0.7796730473293211"
"26","6.064948341036298","0.6175275444984436","6.939256123177507","1.1565980077613822","0.09808898129584663","0.03111324639777124","59.004498601315085","0.5252258920605768","1.489415168762207","36.87872494927744","7.698035394766222","0.7395532522150265","0.6839628437234097"
"27","4.059228962891394","0.5783275365829468","6.743960708025952","1.3881647637715373","0.11085568008441936","0.0016593693110737787","59.04780840839578","0.52319175835806","1.3865468502044678","38.39421576224229","5.936717511355556","0.7790510321176181","0.8546633660309052"
"28","3.8081827816690175","0.6054310202598572","6.614442919562199","1.2325070504936537","0.09558304725694496","2.549913825809393e-06","59.683750195299105","0.48340122064775765","1.3514306545257568","33.50111575270562","5.595507145248821","0.789158938392516","0.8444132920146921"
"29","3.288043392959794","0.6363431215286255","6.4582687780818295","1.231712268951334","0.08290145115315577","7.091598577505622e-06","60.084450489100135","0.37278090116241314","1.354461431503296","28.70663264329369","5.308607878303804","0.7884339978618007","0.7877451230658004"
"30","3.451261086408655","0.6365119814872742","6.34422415934788","1.241012795041048","0.08283534906001806","1.3395504829214092e-06","60.08740926712707","0.3753155672283133","1.3520402908325195","28.63854979310424","5.289723649884946","0.7887237398855148","0.7740392994542394"
"31","6.021578224361422","0.5786147117614746","7.180718312587286","1.0995861761130585","0.14818356138044556","0.053712481421794245","57.490292633187934","0.5362904713824759","1.6546320915222168","52.46421828266552","7.26891281077816","0.7277503282793106","0.8974704798331933"
"32","5.575329552710201","0.616707980632782","6.743618916472425","0.9984375968515163","0.09131588745605207","0.013065184416043391","59.35807955228111","0.5728492595240846","1.3647980690002441","31.740683000004676","7.3569641909352965","0.7485354914460131","0.6902315831058864"
"33","5.4046415222429385","0.590308427810669","6.880787783449728","1.0063131481270422","0.13667219230640995","0.015014539466734816","57.947212464361264","0.575211981334179","1.6339354515075684","44.43247109984561","6.893107501887582","0.7616554928082292","0.7920580663457563"
"34","6.736406634667504","0.5284732580184937","6.923959724356875","1.411448719818779","0.1287949981154078","0.035579987661363915","58.10541932641564","0.5798012584844296","1.2114611864089966","40.124038152352064","7.914241378689293","0.7018586089534145","0.6856334000796224"
"35","5.168357605366988","0.5732915997505188","6.867689030179008","1.3834144837913935","0.1636327095840651","0.016166153588406534","57.19541865490308","0.5679320765549879","1.5631879568099976","43.98109477934022","6.746053093932879","0.7606749239788261","0.8902276479194418"
