candidate,path,target_group,preset,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
28_B_D_day_vi62_gate26_std450_12,results\candidates_round11_adaptive\28_B_D_day_vi62_gate26_std450_12,DN_D,day_vi_structure,0.009235107490131933,0.5862614967202657,6.920102559883421,2.519911772383011,0.04075335288640632,0.03521450037156702,17.156160274927846,0.4183077100784548,1.487634288667717,0.15811578825276384,0.021061433031189947,0.6544868205824206,0.6026283230410326
29_B_D_day_vi68_gate18_std438_13,results\candidates_round11_adaptive\29_B_D_day_vi68_gate18_std438_13,DN_D,day_vi_structure,0.00919441904832599,0.5854113182096609,6.916565294118562,2.523692896230321,0.040780750699141013,0.035098993970501806,17.161042524523687,0.4173293889209788,1.481943963658802,0.15779500518755246,0.020966796643587086,0.6541336000927033,0.6019986785595184
30_B_D_day_vi68_gate18_std450_14,results\candidates_round11_adaptive\30_B_D_day_vi68_gate18_std450_14,DN_D,day_vi_structure,0.009226032517730229,0.5854137837112016,6.920674126970445,2.5242283692435903,0.040845964052614266,0.035252905270505334,17.17023412702201,0.41808612051830496,1.4840349576112843,0.15829786265729576,0.02104446910249683,0.6543676281167615,0.6020005248327839
31_B_D_day_vi68_gate26_std438_15,results\candidates_round11_adaptive\31_B_D_day_vi68_gate26_std438_15,DN_D,day_vi_structure,0.009198180344756893,0.5854495280757003,6.916596840489111,2.523599412430878,0.04078001618605628,0.03508661967772309,17.160951288450633,0.41742278619479106,1.4821543344237214,0.15779523479361687,0.020970428637071405,0.6542138932372934,0.6020298404827544
32_B_D_day_vi68_gate26_std450_16,results\candidates_round11_adaptive\32_B_D_day_vi68_gate26_std450_16,DN_D,day_vi_structure,0.009229796603121745,0.5854521389301923,6.920706433856166,2.524171794242285,0.0408452071452273,0.035241119533536897,17.170139129598226,0.41818417432487653,1.4842496147110344,0.15829807527924097,0.02104804336031702,0.6544485995045273,0.6020314109835526
33_C_N_night_g86_str14_ir26_01,results\candidates_round11_adaptive\33_C_N_night_g86_str14_ir26_01,DN_N,night_ir_saliency,0.009069698026543983,0.600660439541235,6.912815022569682,2.460365822000948,0.04040458265276405,0.037791498135575044,16.842915995729154,0.41674026462339586,1.5361202299061452,0.15720511924835942,0.020456486807480176,0.6489246062213375,0.6148309830814431
34_C_N_night_g86_str14_ir36_02,results\candidates_round11_adaptive\34_C_N_night_g86_str14_ir36_02,DN_N,night_ir_saliency,0.009092307779737699,0.6027668545900478,6.912834464685778,2.4486046406803053,0.040399936537298384,0.038530338205076675,16.794333533851805,0.417433524644503,1.5376070750773594,0.1568852009311799,0.020499519968905096,0.648310821783799,0.6169270259661733
35_C_N_night_g86_str14_ir46_03,results\candidates_round11_adaptive\35_C_N_night_g86_str14_ir46_03,DN_N,night_ir_saliency,0.009110417747769946,0.603902694491244,6.912832361996382,2.440832429713091,0.0404282868301536,0.03946664437691691,16.754629770023392,0.4178374300720871,1.5360589653563774,0.1566675999952901,0.02053345630956962,0.6476433648056882,0.6180541474808723
36_C_N_night_g86_str14_ir54_04,results\candidates_round11_adaptive\36_C_N_night_g86_str14_ir54_04,DN_N,night_ir_saliency,0.009122146528855126,0.6042815084766977,6.912866782234537,2.4366590496855074,0.04046636909591935,0.04026398544390035,16.7282353393579,0.4180379295220939,1.5334901454911491,0.1565470839700391,0.02055491458477696,0.6471156110205958,0.6184267062414639
37_C_N_night_g86_str22_ir26_05,results\candidates_round11_adaptive\37_C_N_night_g86_str22_ir26_05,DN_N,night_ir_saliency,0.009069698026543983,0.600660439541235,6.912815022569682,2.460365822000948,0.04040458265276405,0.037791498135575044,16.842915995729154,0.41674026462339586,1.5361202299061452,0.15720511924835942,0.020456486807480176,0.6489246062213375,0.6148309830814431
