candidate,path,PoolObjective,PoolPredInsertedRank,AG,CC,EN,MI,MSE,Nabf,PSNR,Qabf,SCD,SD,SF,SSIM,VIF
08_rankpoints_safe_qabf_detail,results\candidates_round11\08_rankpoints_safe_qabf_detail,50.8239895325853,23.46153846153846,0.020489156416427064,0.6107852249879212,7.023942434482241,3.4788661543749884,0.03915503792594918,0.04795422958290224,23.121227910066825,0.6785332073447525,1.6120905802601255,0.1692467957174265,0.046148598744314644,0.7081617239502168,0.626152386921118
07_rankpoints_safe_qabf_balanced,results\candidates_round11\07_rankpoints_safe_qabf_balanced,50.87542958848459,23.46153846153846,0.020470937323426048,0.6113004443389118,7.026626089404652,3.470688485831394,0.03915487035923708,0.04785253984292829,23.104708217108726,0.6784657861596795,1.6127412513595274,0.1693989129396536,0.04616501432492739,0.7086125768480762,0.6264942736675768
09_rankpoints_safe_qabf_safe,results\candidates_round11\09_rankpoints_safe_qabf_safe,52.268738673766286,23.53846153846154,0.020457987893893515,0.6109399445987588,7.025012402222175,3.4741141678069165,0.03915464625473545,0.047938034474168736,23.101277440693128,0.6784851140873407,1.6085247960303246,0.16903008396426836,0.04604759956677589,0.7078564270369468,0.6269646977441867
22_avg_anchor_std19,results\candidates_round2\22_avg_anchor_std19,55.52092407178795,29.46153846153846,0.022171298858098765,0.6051324016876223,6.997345375171917,2.3362255954500553,0.03894521542374165,0.16040370695453177,16.216289050983924,0.5209887380241066,1.571073694651207,0.16912227756874534,0.05306522168398915,0.6236725925437866,0.6063595081607903
38_mix33_std50,results\candidates_round2\38_mix33_std50,56.08165135769282,27.46153846153846,0.02059634925136643,0.6254591582716296,6.973125938989182,2.690280278223574,0.04677190746040514,0.1113221294657197,16.153565700098046,0.6059298720411075,1.7416513001010474,0.1903155053495079,0.04579530927363872,0.6535029509855855,0.6355766311795661
04_mix33_luma_gain_sd50,results\candidates_round3\04_mix33_luma_gain_sd50,56.08165135769282,27.46153846153846,0.02059634925136643,0.6254591582716296,6.973125938989182,2.690280278223574,0.04677190746040514,0.1113221294657197,16.153565700098046,0.6059298720411075,1.7416513001010474,0.1903155053495079,0.04579530927363872,0.6535029509855855,0.6355766311795661
06_rankpoints_safe_qabf_rank,results\candidates_round11\06_rankpoints_safe_qabf_rank,56.49775043481915,23.384615384615383,0.02029175760965514,0.6133145319731075,7.027092170459245,3.4723249718198934,0.039036500872293066,0.04603078039563311,23.05875434478004,0.6790292128439872,1.6134524188776718,0.1688732945069831,0.045660575913831464,0.7088656692254928,0.6286035823776532
12_project_leader_vif,results\candidates_round7\12_project_leader_vif,56.629148113701234,28.53846153846154,0.0244719975637973,0.5720106491919772,6.957714899999574,3.0165688247619125,0.042072491850816615,0.15737871993933955,18.399636672099017,0.6022316473786549,1.6013939270777922,0.16736094461333367,0.05692274006640104,0.6761368197459047,0.602588998252097
01_rankpoints_balanced_rank,results\candidates_round10\01_rankpoints_balanced_rank,58.45525977989984,23.53846153846154,0.020739891476208163,0.6263740876283204,7.04802801978668,2.987002893482737,0.037533566135392396,0.06013962122241175,18.995959105748582,0.6652626891930898,1.6971492985883116,0.1671560916208452,0.04632071254620621,0.7050077842288119,0.6346242084777082
07_rankpoints_safe_qabf_safe,results\candidates_round10\07_rankpoints_safe_qabf_safe,64.9272250088878,23.76923076923077,0.02028826285674367,0.6175895337992419,7.040561085919134,3.3070637583571627,0.03827868316758184,0.051352866679950745,21.46235083662796,0.6698183606388748,1.63997864917216,0.16763819105202152,0.045503027410277015,0.7078848023728658,0.6311843604901526
